cpu_percent,memory_percent,load_avg_1,load_avg_5,load_avg_15,cpu_process,memory_process,read_bytes,write_bytes,ctx_voluntary,ctx_involuntary,nice,label
0.0052903225806451,0.1147155442735552,0.0,0.0,0.0,0.0,0.2931770405976137,0.0,1.0605171643141877e-06,0.0,0.0,0.0,idle
0.0193978494623655,0.1147155442735552,0.0,0.0,0.0,0.018180790686785,0.2931770405976137,0.0,1.0605171643141877e-06,0.0,0.0,0.0,idle
0.0405591397849462,0.1147155442735552,0.0,0.0,0.0,0.046033245335723,0.293324352233907,0.0,1.0605171643141877e-06,0.0,0.0,0.0,idle
0.0414408602150537,0.1147155442735552,0.0363102018582961,0.0046956148624306,0.0033693454774688,0.0500698329660038,0.293324352233907,0.0,1.0605171643141877e-06,0.0,0.0,0.0,idle
0.0396774193548387,0.1147155442735552,0.0363102018582961,0.0046956148624306,0.0033693454774688,0.0424003164684702,0.2936189755064937,0.0,1.0605171643141877e-06,0.0,0.0,0.0,idle
0.0176344086021505,0.1147155442735552,0.0363102018582961,0.0046956148624306,0.0033693454774688,0.0240338427506922,0.2936189755064937,0.0,1.0605171643141877e-06,0.0,0.0,0.0,idle
0.147258064516129,0.1358444079438554,0.0370647091190483,0.005039690089419,0.0036084603178053,0.1515900118675676,0.3058550482961197,0.002781061908859,1.0605171643141877e-06,0.0024226229363253,0.0001778064609599,0.0,idle
0.0651505376344086,0.1358444079438554,0.0320242325649014,0.0045357210804771,0.0032476142860248,0.0718674061695205,0.3058550482961197,0.002781061908859,1.0605171643141877e-06,0.006941708705626,0.0003424420729599,0.0,idle
0.1668924731182795,0.1358444079438554,0.0320242325649014,0.0045357210804771,0.0032476142860248,0.1921577175518903,0.3064442948412935,0.002781061908859,1.0605171643141877e-06,0.023065512007506,0.0012067790359597,0.0,idle
0.0687204301075268,0.1358444079438554,0.0320242325649014,0.0045357210804771,0.0032476142860248,0.0783259463779699,0.3064442948412935,0.002781061908859,1.0605171643141877e-06,0.0287266493435049,0.0012890968419597,0.0,idle
0.0597956989247311,0.1358444079438554,0.0320242325649014,0.0045357210804771,0.0032476142860248,0.0682344773022677,0.3065916064775873,0.002781061908859,1.0605171643141877e-06,0.0330246928740898,0.0016732466032929,0.0,idle
0.1303010752688172,0.1358444079438554,0.0320242325649014,0.0045357210804771,0.0032476142860248,0.1521955000121098,0.3064627087958302,0.002781061908859,1.0605171643141877e-06,0.0499589843845944,0.0022906301482927,0.0,idle
0.070505376344086,0.1358444079438554,0.0273656102951595,0.0040317520715352,0.0028867682542442,0.0761058231813154,0.3066100204321236,0.002781061908859,1.0605171643141877e-06,0.0539745850545978,0.0024141068572927,0.0,idle
0.0124946236559139,0.1358444079438554,0.0273656102951595,0.0040317520715352,0.0028867682542442,0.0159606674901305,0.3066100204321236,0.002781061908859,1.0605171643141877e-06,0.0559025645811743,0.0024141068572927,0.0,idle
0.0089247311827956,0.1327460056741825,0.0273656102951595,0.0040317520715352,0.0028867682542442,0.0103094448077373,0.3034980621154242,0.002781061908859,1.0605171643141877e-06,0.0573516192572003,0.0024141068572927,0.0,idle
0.0035698924731182,0.1327460056741825,0.0273656102951595,0.0040317520715352,0.0028867682542442,0.0101076154262232,0.3036453737517179,0.002781061908859,1.0605171643141877e-06,0.057805983859005,0.0024415461259594,0.0,idle
0.0017849462365591,0.1327460056741825,0.0273656102951595,0.0040317520715352,0.0028867682542442,0.0022362695471756,0.3036453737517179,0.002781061908859,1.0605171643141877e-06,0.0579901857246012,0.0024552657602927,0.0,idle
0.0017849462365591,0.1327460056741825,0.0230888423098227,0.0035277830625933,0.0025259222224637,0.0119240798598496,0.3037926853880113,0.002781061908859,1.0605171643141877e-06,0.0582112279633171,0.002468985394626,0.0,idle
0.0071397849462365,0.1327460056741825,0.0230888423098227,0.0035277830625933,0.0025259222224637,0.0060710277959424,0.3037926853880113,0.002781061908859,1.0605171643141877e-06,0.0591445174156728,0.0024827050289594,0.0,idle
0.0017849462365591,0.1327460056741825,0.0230888423098227,0.0035277830625933,0.0025259222224637,0.0022362695471756,0.3039399970243046,0.002781061908859,1.0605171643141877e-06,0.0593901199031345,0.0024827050289594,0.0,idle
0.0017849462365591,0.1327460056741825,0.0230888423098227,0.0035277830625933,0.0025259222224637,0.0080893216110828,0.3039399970243046,0.002781061908859,1.0605171643141877e-06,0.0595129211468656,0.0024827050289594,0.0,idle
0.0035698924731182,0.1327460056741825,0.0230888423098227,0.0035277830625933,0.0025259222224637,0.00445639274383,0.3039399970243046,0.002781061908859,1.0605171643141877e-06,0.0597708037587008,0.0024827050289594,0.0,idle
0.0035698924731182,0.1327460056741825,0.01911755775201,0.0030238140536514,0.0021650761906832,0.0080893216110828,0.3040873086605984,0.002781061908859,1.0605171643141877e-06,0.0599795658730437,0.0024827050289594,0.0,idle
0.0017849462365591,0.1327460056741825,0.01911755775201,0.0030238140536514,0.0021650761906832,0.0022362695471756,0.3040873086605984,0.002781061908859,1.0605171643141877e-06,0.0601023671167744,0.0024827050289594,0.0,idle
0.0,0.1327460056741825,0.01911755775201,0.0030238140536514,0.0021650761906832,0.0022362695471756,0.3042346202968917,0.002781061908859,1.0605171643141877e-06,0.0601146472411477,0.0024964246632927,0.0,idle
0.0,0.1327460056741825,0.01911755775201,0.0030238140536514,0.0021650761906832,0.0022362695471756,0.3042346202968917,0.002781061908859,1.0605171643141877e-06,0.0601637677386399,0.0024964246632927,0.0,idle
