,timestamp,cpu_percent,memory_percent,pid,name,cpu_process,memory_process,cpu_process_norm,memory_process_norm,load_label
205,2025-05-14 23:08:13.229054,13.2,69.2,979,siriinferenced,0.0,0.1725090874565972,0.0,0.03689111421197115,idle
206,2025-05-14 23:08:13.229054,13.2,69.2,980,neagent,0.0,0.06866455078125,0.0,0.014546681623756252,idle
207,2025-05-14 23:08:13.229054,13.2,69.2,981,photolibraryd,0.0,0.1185099283854166,0.0,0.025272009266099394,idle
208,2025-05-14 23:08:13.229054,13.2,69.2,982,ManagedSettingsAgent,0.0,0.0461154513888888,0.0,0.00969474769031528,idle
209,2025-05-14 23:08:13.229054,13.2,69.2,983,com.apple.sbd,0.0,0.0736660427517361,0.0,0.015622862458617211,idle
211,2025-05-14 23:08:13.229054,13.2,69.2,985,tccd,0.0,0.0684102376302083,0.0,0.014491960564356534,idle
212,2025-05-14 23:08:13.229054,13.2,69.2,986,mediaanalysisd,0.0,0.2901713053385416,0.0,0.06220872436090362,idle
213,2025-05-14 23:08:13.229054,13.2,69.2,987,usernotificationsd,0.0,0.0853644476996527,0.0,0.018140031191003856,idle
214,2025-05-14 23:08:13.229054,13.2,69.2,988,findmylocateagent,0.0,0.0919765896267361,0.0,0.01956277873539633,idle
215,2025-05-14 23:08:13.229054,13.2,69.2,989,knowledge-agent,0.0,0.2440558539496528,0.0,0.0522859722564229,idle
216,2025-05-14 23:08:13.229054,13.2,69.2,990,replicatord,0.0,0.1330057779947916,0.0,0.02839110965188286,idle
217,2025-05-14 23:08:13.229054,13.2,69.2,991,coreauthd,0.0,0.0617133246527777,0.0,0.01305097266683083,idle
218,2025-05-14 23:08:13.229054,13.2,69.2,992,ScopedBookmarkAgent,0.0,0.0693427191840277,0.0,0.014692604448822129,idle
219,2025-05-14 23:08:13.229054,13.2,69.2,994,familycircled,0.0,0.0768873426649305,0.0,0.016315995877680196,idle
220,2025-05-14 23:08:13.229054,13.2,69.2,995,sharingd,0.0,0.2152336968315972,0.0,0.04608425219112243,idle
221,2025-05-14 23:08:13.229054,13.2,69.2,996,appleaccountd,0.0,0.0906202528211805,0.0,0.019270933085264532,idle
222,2025-05-14 23:08:13.229054,13.2,69.2,997,chronod,0.0,0.2401563856336805,0.0,0.051446916012294,idle
223,2025-05-14 23:08:13.229054,13.2,69.2,998,StatusKitAgent,0.0,0.0740898980034722,0.0,0.01571406422428339,idle
224,2025-05-14 23:08:13.229054,13.2,69.2,1001,sharedfilelistd,0.0,0.089263916015625,0.0,0.01897908743513276,idle
225,2025-05-14 23:08:13.229054,13.2,69.2,1003,com.apple.geod,0.0,0.0706142849392361,0.0,0.014966209745820693,idle
226,2025-05-14 23:08:13.229054,13.2,69.2,1005,AppSSOAgent,0.0,0.1864963107638889,0.0,0.03990077247895521,idle
227,2025-05-14 23:08:13.229054,13.2,69.2,1006,pkd,0.0,0.0415378146701388,0.0,0.008709768621120502,idle
229,2025-05-14 23:08:13.229054,13.2,69.2,1012,ContinuityCaptureAgent,0.0,0.0668843587239583,0.0,0.014163634207958275,idle
234,2025-05-14 23:08:13.229054,13.2,69.2,1026,gamecontrolleragentd,0.0,0.0269571940104166,0.0,0.005572427882203802,idle
235,2025-05-14 23:08:13.229054,13.2,69.2,1027,ControlCenter,0.0,0.3726535373263889,0.0,0.07995658795954291,idle
237,2025-05-14 23:08:13.229054,13.2,69.2,1031,BiomeAgent,0.0,0.0925699869791666,0.0,0.019690461207328976,idle
